era,city,date,time,variant,apparent_shift_minutes,any_changed,changed
구표준시,서울,1956-03-22,17:09,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-03-22,17:09,noSolarTime,2,0,""
구표준시,서울,1956-03-22,19:16,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-03-22,19:16,noSolarTime,2,0,""
구표준시,서울,1956-03-22,21:23,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-03-22,21:23,noSolarTime,2,0,""
구표준시,서울,1956-03-22,23:30,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-03-22,23:30,noSolarTime,2,0,""
구표준시,서울,1956-04-02,00:13,noHistoricalTz,-30,1,"dayPillar|planetHouses"
구표준시,서울,1956-04-02,00:13,noSolarTime,2,0,""
구표준시,서울,1956-04-02,02:20,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-04-02,02:20,noSolarTime,2,0,""
구표준시,서울,1956-04-02,04:27,noHistoricalTz,-30,1,"ascSign|planetHouses"
구표준시,서울,1956-04-02,04:27,noSolarTime,2,0,""
구표준시,서울,1956-04-02,06:34,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-04-02,06:34,noSolarTime,2,0,""
구표준시,서울,1956-04-02,08:41,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-04-02,08:41,noSolarTime,2,0,""
구표준시,서울,1956-04-02,10:48,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-04-02,10:48,noSolarTime,2,0,""
구표준시,서울,1956-04-02,12:55,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-04-02,12:55,noSolarTime,2,0,""
구표준시,서울,1956-04-02,15:02,noHistoricalTz,-30,1,"ascSign|planetHouses"
구표준시,서울,1956-04-02,15:02,noSolarTime,2,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-04-02,17:09,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-04-02,17:09,noSolarTime,2,0,""
구표준시,서울,1956-04-02,19:16,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-04-02,19:16,noSolarTime,2,0,""
