birth_id,city,date,time,offset_min,any_changed,changed,asc_shift_deg,planet_house_changes
서울-1980-01-08-08:56,서울,1980-01-08,08:56,60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses,20.1333,5
서울-1980-01-08-08:56,서울,1980-01-08,08:56,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,43.2833,12
서울-1980-01-08-10:10,서울,1980-01-08,10:10,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,38.6667,10
서울-1980-01-08-10:10,서울,1980-01-08,10:10,-60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,20.8833,4
서울-1980-01-08-10:10,서울,1980-01-08,10:10,-30,1,ascSign|planetHouses,10.8500,1
서울-1980-01-08-10:10,서울,1980-01-08,10:10,-15,1,ascSign,5.5333,0
서울-1980-01-08-10:10,서울,1980-01-08,10:10,-5,1,ascSign,1.8667,0
서울-1980-01-08-10:10,서울,1980-01-08,10:10,5,1,planetHouses,1.8833,2
서울-1980-01-08-10:10,서울,1980-01-08,10:10,15,1,planetHouses,5.7000,2
서울-1980-01-08-10:10,서울,1980-01-08,10:10,30,1,planetHouses,11.5833,6
서울-1980-01-08-10:10,서울,1980-01-08,10:10,60,1,planetHouses,23.6667,10
서울-1980-01-08-10:10,서울,1980-01-08,10:10,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,48.0500,12
서울-1980-01-08-12:24,서울,1980-01-08,12:24,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,48.2167,12
서울-1980-01-08-12:24,서울,1980-01-08,12:24,-60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.1333,7
서울-1980-01-08-12:24,서울,1980-01-08,12:24,-30,1,planetHouses,11.8833,6
서울-1980-01-08-12:24,서울,1980-01-08,12:24,-15,1,planetHouses,5.8833,3
서울-1980-01-08-12:24,서울,1980-01-08,12:24,-5,1,planetHouses,1.9500,1
서울-1980-01-08-12:24,서울,1980-01-08,12:24,5,1,planetHouses,1.9167,1
서울-1980-01-08-12:24,서울,1980-01-08,12:24,15,1,planetHouses,5.7167,2
서울-1980-01-08-12:24,서울,1980-01-08,12:24,30,1,ascSign|planetHouses,11.2500,3
서울-1980-01-08-12:24,서울,1980-01-08,12:24,60,1,ascSign|planetHouses,21.7000,6
서울-1980-01-08-12:24,서울,1980-01-08,12:24,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,40.2500,11
서울-1980-01-08-14:38,서울,1980-01-08,14:38,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,38.8333,12
서울-1980-01-08-14:38,서울,1980-01-08,14:38,-60,1,ascSign|planetHouses,17.8500,9
서울-1980-01-08-14:38,서울,1980-01-08,14:38,-30,1,ascSign|planetHouses,8.5667,4
서울-1980-01-08-14:38,서울,1980-01-08,14:38,-15,1,planetHouses,4.2000,2
서울-1980-01-08-14:38,서울,1980-01-08,14:38,-5,1,planetHouses,1.3833,1
서울-1980-01-08-14:38,서울,1980-01-08,14:38,5,0,,1.3667,0
서울-1980-01-08-14:38,서울,1980-01-08,14:38,15,0,,4.0500,0
서울-1980-01-08-14:38,서울,1980-01-08,14:38,30,1,planetHouses,7.9667,2
서울-1980-01-08-14:38,서울,1980-01-08,14:38,60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses,15.4167,5
서울-1980-01-08-14:38,서울,1980-01-08,14:38,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,29.2167,12
서울-1980-01-08-16:52,서울,1980-01-08,16:52,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,28.4833,12
서울-1980-01-08-16:52,서울,1980-01-08,16:52,-60,1,ascSign|planetHouses,13.5000,6
서울-1980-01-08-16:52,서울,1980-01-08,16:52,-30,1,planetHouses,6.6167,4
서울-1980-01-08-16:52,서울,1980-01-08,16:52,-15,1,planetHouses,3.2833,2
서울-1980-01-08-16:52,서울,1980-01-08,16:52,-5,1,planetHouses,1.0833,1
서울-1980-01-08-16:52,서울,1980-01-08,16:52,5,0,,1.0833,0
서울-1980-01-08-16:52,서울,1980-01-08,16:52,15,1,planetHouses,3.2333,1
서울-1980-01-08-16:52,서울,1980-01-08,16:52,30,1,planetHouses,6.4000,2
서울-1980-01-08-16:52,서울,1980-01-08,16:52,60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses,12.6500,5
서울-1980-01-08-16:52,서울,1980-01-08,16:52,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.8833,11
서울-1980-01-08-18:06,서울,1980-01-08,18:06,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,25.7833,12
서울-1980-01-08-18:06,서울,1980-01-08,18:06,-60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses,12.5167,6
서울-1980-01-08-18:06,서울,1980-01-08,18:06,-30,1,planetHouses,6.2000,2
서울-1980-01-08-18:06,서울,1980-01-08,18:06,-15,1,planetHouses,3.0833,2
서울-1980-01-08-18:06,서울,1980-01-08,18:06,-5,1,planetHouses,1.0333,1
서울-1980-01-08-18:06,서울,1980-01-08,18:06,5,0,,1.0167,0
서울-1980-01-08-18:06,서울,1980-01-08,18:06,15,0,,3.0667,0
서울-1980-01-08-18:06,서울,1980-01-08,18:06,30,1,ascSign|planetHouses,6.1167,3
서울-1980-01-08-18:06,서울,1980-01-08,18:06,60,1,ascSign|planetHouses,12.1667,5
서울-1980-01-08-18:06,서울,1980-01-08,18:06,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.2333,11
서울-1980-01-08-20:20,서울,1980-01-08,20:20,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.1833,12
서울-1980-01-08-20:20,서울,1980-01-08,20:20,-60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses,12.0667,5
서울-1980-01-08-20:20,서울,1980-01-08,20:20,-30,1,planetHouses,6.0333,4
서울-1980-01-08-20:20,서울,1980-01-08,20:20,-15,1,planetHouses,3.0167,3
서울-1980-01-08-20:20,서울,1980-01-08,20:20,-5,1,planetHouses,1.0167,2
서울-1980-01-08-20:20,서울,1980-01-08,20:20,5,0,,1.0000,0
서울-1980-01-08-20:20,서울,1980-01-08,20:20,15,0,,3.0167,0
